hsanum,hsacity,hsastate,cursmok_num,cursmok_denom,cursmok_pct,cursmok_pct_se,cursmok_state,cursmok_state_se,obese_num,obese_denom,obese_pct,obese_pct_se,obese_state,obese_state_se,pdiet_num,pdiet_denom,pdiet_pct,pdiet_pct_se,pdiet_state,pdiet_state_se,inactive_num,inactive_denom,inactive_pct,inactive_pct_se,inactive_state,inactive_state_se,alcohol_num,alcohol_denom,alcohol_pct,alcohol_pct_se,alcohol_state,alcohol_state_se,hypsr_num,hypsr_denom,hypsr_pct,hypsr_pct_se,hypsr_state,hypsr_state_se,cholsr_num,cholsr_denom,cholsr_pct,cholsr_pct_se,cholsr_state,cholsr_state_se,dbsr_num,dbsr_denom,dbsr_pct,dbsr_pct_se,dbsr_state,dbsr_state_se,strokesr_num,strokesr_denom,strokesr_pct,strokesr_pct_se,strokesr_state,strokesr_state_se,misr_num,misr_denom,misr_pct,misr_pct_se,misr_state,misr_state_se,chdsr_num,chdsr_denom,chdsr_pct,chdsr_pct_se,chdsr_state,chdsr_state_se,copdsr_num,copdsr_denom,copdsr_pct,copdsr_pct_se,copdsr_state,copdsr_state_se,lowgenhlth_num,lowgenhlth_denom,lowgenhlth_pct,lowgenhlth_pct_se,lowgenhlth_state,lowgenhlth_state_se,bpmed_num,bpmed_denom,bpmed_pct,bpmed_pct_se,bpmed_state,bpmed_state_se,age65_num,age65_denom,age65_pct,age65_pct_se,age65_state,age65_state_se,nohs_num,nohs_denom,nohs_pct,nohs_pct_se,nohs_state,nohs_state_se,poor_num,poor_denom,poor_pct,poor_pct_se,poor_state,poor_state_se,female_num,female_denom,female_pct,female_pct_se,female_state,female_state_se,uninsured_num,uninsured_denom,uninsured_pct,uninsured_pct_se,uninsured_state,uninsured_state_se,nodoc_num,nodoc_denom,nodoc_pct,nodoc_pct_se,nodoc_state,nodoc_state_se,medcost_num,medcost_denom,medcost_pct,medcost_pct_se,medcost_state,medcost_state_se
20013,Damariscotta,ME,68,644,14.2,2.3,20.6,0.3076993067,135,640,22.3,2.3,28.5,0.3157733035,156,346,43.6,3.9,60.6,0.4760612294,77,343,20.9,3.1,26.5,0.447828905,74,636,10.7,1.5,7.1,0.1886627774,138,364,28.1,2.9,33,0.4277066342,147,324,43.9,3.3,40.5,0.4788523038,62,654,8.4,1.3,9.6,0.1805805997,24,652,3.1,0.8,2.8,0.101079311,31,653,4.1,0.9,5.4,0.1423418332,42,647,5,1,5.2,0.1323174942,52,648,6.3,1,7.7,0.1740288112,64,649,7.3,1.3,15.5,0.2489108411,21,138,14.8,3.5,21.1,0.683113719,328,652,33.7,2.3,21.8,0.2235318975,13,653,2.9,1.1,9.8,0.2718125138,52,580,10.2,2.2,11.9,0.2449268988,392,654,52.6,2.8,51.8,0.3466066631,36,654,7,1.6,12,0.2507097598,27,653,6.3,1.7,12,0.2576709594,37,653,10.4,2.3,10.8,0.2328670456
20014,Dover-Foxcroft,ME,145,807,24.5,2.4,20.6,0.3076993067,272,781,34.3,2.4,28.5,0.3157733035,265,407,71.4,2.8,60.6,0.4760612294,122,403,34,3.6,26.5,0.447828905,34,783,4.5,1.2,7.1,0.1886627774,197,440,36.7,3.1,33,0.4277066342,183,398,41.5,3.4,40.5,0.4788523038,120,815,11.9,1.4,9.6,0.1805805997,32,814,3.8,0.9,2.8,0.101079311,80,813,8.7,1.3,5.4,0.1423418332,78,803,8.5,1.3,5.2,0.1323174942,100,813,10.7,1.4,7.7,0.1740288112,184,807,21.7,2.1,15.5,0.2489108411,39,197,24.2,4.5,21.1,0.683113719,298,812,26.8,1.9,21.8,0.2235318975,70,815,17,2.4,9.8,0.2718125138,131,741,18.9,2.2,11.9,0.2449268988,472,815,51.7,2.5,51.8,0.3466066631,83,813,10.4,1.5,12,0.2507097598,79,814,12.9,1.9,12,0.2576709594,89,810,12.7,1.7,10.8,0.2328670456
20015,Ellsworth,ME,171,819,26.7,2.2,20.6,0.3076993067,230,796,31.4,2.3,28.5,0.3157733035,241,427,62.7,3.2,60.6,0.4760612294,112,412,28.8,3,26.5,0.447828905,61,798,7.5,1.3,7.1,0.1886627774,195,452,35.6,3.1,33,0.4277066342,200,402,45.1,3.4,40.5,0.4788523038,90,824,10.3,1.4,9.6,0.1805805997,30,823,3.3,0.7,2.8,0.101079311,62,824,6.9,1.2,5.4,0.1423418332,47,818,4.6,1,5.2,0.1323174942,81,820,8.1,1.2,7.7,0.1740288112,146,823,17.5,1.8,15.5,0.2489108411,33,195,29.8,5.6,21.1,0.683113719,284,823,22.8,1.7,21.8,0.2235318975,44,825,10.7,2,9.8,0.2718125138,97,743,12.1,1.7,11.9,0.2449268988,466,825,48.3,2.3,51.8,0.3466066631,109,822,18.8,2.1,12,0.2507097598,86,821,15.1,1.9,12,0.2576709594,77,824,11.3,1.6,10.8,0.2328670456
20016,Farmington,ME,265,1624,22.9,1.7,20.6,0.3076993067,488,1592,32.1,1.7,28.5,0.3157733035,468,828,61.6,2.3,60.6,0.4760612294,216,806,29.6,2.3,26.5,0.447828905,111,1598,9,1.2,7.1,0.1886627774,339,873,33.4,2.2,33,0.4277066342,350,789,42.1,2.5,40.5,0.4788523038,187,1655,10.2,1,9.6,0.1805805997,66,1653,2.9,0.4,2.8,0.101079311,86,1646,4,0.5,5.4,0.1423418332,98,1639,4.5,0.6,5.2,0.1323174942,149,1649,9.1,1,7.7,0.1740288112,259,1650,16.3,1.3,15.5,0.2489108411,56,339,18.6,3.7,21.1,0.683113719,547,1643,21.2,1.1,21.8,0.2235318975,100,1654,10.9,1.4,9.8,0.2718125138,219,1500,14.2,1.4,11.9,0.2449268988,953,1656,48.9,1.7,51.8,0.3466066631,167,1649,13.4,1.4,12,0.2507097598,162,1640,13,1.4,12,0.2576709594,129,1653,9.9,1.2,10.8,0.2328670456
20017,Fort Kent,ME,74,414,21,2.8,20.6,0.3076993067,133,406,34,3,28.5,0.3157733035,138,211,67.8,4,60.6,0.4760612294,53,203,24.1,3.6,26.5,0.447828905,16,394,6.7,2.1,7.1,0.1886627774,85,223,30.4,3.7,33,0.4277066342,85,200,38.7,4.2,40.5,0.4788523038,40,418,8.5,1.5,9.6,0.1805805997,22,419,3.9,1,2.8,0.101079311,26,417,4.6,1,5.4,0.1423418332,29,416,5.9,1.2,5.2,0.1323174942,32,414,7.6,1.7,7.7,0.1740288112,95,419,19.1,2.3,15.5,0.2489108411,9,85,16.1,6.3,21.1,0.683113719,125,416,20.1,2,21.8,0.2235318975,31,419,9.6,2.1,9.8,0.2718125138,63,383,13.3,2.1,11.9,0.2449268988,252,419,56,3,51.8,0.3466066631,45,419,11.4,2.1,12,0.2507097598,30,416,8.2,1.7,12,0.2576709594,41,418,10.6,2.1,10.8,0.2328670456
20035,Greenville,ME,40,202,22.9,4.5,20.6,0.3076993067,50,202,29.7,4.8,28.5,0.3157733035,47,86,58.1,7.2,60.6,0.4760612294,25,85,21.3,5.1,26.5,0.447828905,13,200,7.8,2.8,7.1,0.1886627774,32,90,33.6,6.7,33,0.4277066342,30,80,37.1,7.2,40.5,0.4788523038,29,206,12.8,3.3,9.6,0.1805805997,9,206,4.6,2,2.8,0.101079311,15,203,5.3,1.5,5.4,0.1423418332,16,205,6.1,1.8,5.2,0.1323174942,17,205,7.3,2.6,7.7,0.1740288112,42,206,19.8,3.7,15.5,0.2489108411,1,32,2.8,2.8,21.1,0.683113719,71,205,23.8,3.4,21.8,0.2235318975,16,206,13.5,4.5,9.8,0.2718125138,37,188,13.2,3.2,11.9,0.2449268988,116,206,50.1,4.9,51.8,0.3466066631,29,205,22.1,4.9,12,0.2507097598,29,204,19.7,4.8,12,0.2576709594,14,206,11.4,4.3,10.8,0.2328670456
20018,Houlton,ME,93,476,25.3,2.7,20.6,0.3076993067,148,451,33.1,2.8,28.5,0.3157733035,170,251,71.3,3.5,60.6,0.4760612294,82,245,29.2,3.6,26.5,0.447828905,22,464,4.3,1.1,7.1,0.1886627774,104,267,34,3.6,33,0.4277066342,114,235,45.7,4,40.5,0.4788523038,77,477,13.8,1.9,9.6,0.1805805997,19,477,2,0.5,2.8,0.101079311,35,476,5.2,1,5.4,0.1423418332,29,475,5,1.1,5.2,0.1323174942,45,476,8.4,1.5,7.7,0.1740288112,111,476,19.3,2.1,15.5,0.2489108411,15,104,16.1,4.7,21.1,0.683113719,165,477,22.7,2,21.8,0.2235318975,35,475,11.2,2.4,9.8,0.2718125138,81,419,18.9,2.7,11.9,0.2449268988,302,479,59.4,2.9,51.8,0.3466066631,52,479,12.8,2.1,12,0.2507097598,62,474,16.2,2.4,12,0.2576709594,41,478,8.3,1.6,10.8,0.2328670456
20019,Lewiston,ME,484,2863,22,1.1,20.6,0.3076993067,875,2765,32.7,1.1,28.5,0.3157733035,839,1355,66,1.6,60.6,0.4760612294,358,1311,27.7,1.7,26.5,0.447828905,142,2794,5.7,0.6,7.1,0.1886627774,577,1450,33.1,1.6,33,0.4277066342,591,1322,39.3,1.8,40.5,0.4788523038,340,2891,9.9,0.7,9.6,0.1805805997,118,2885,3.5,0.4,2.8,0.101079311,159,2876,5.1,0.5,5.4,0.1423418332,174,2867,4.9,0.5,5.2,0.1323174942,282,2885,8.6,0.6,7.7,0.1740288112,445,2874,14.8,0.8,15.5,0.2489108411,91,576,22.4,2.8,21.1,0.683113719,822,2873,18.7,0.8,21.8,0.2235318975,197,2888,11.3,0.9,9.8,0.2718125138,324,2609,11.4,0.8,11.9,0.2449268988,1745,2892,53.8,1.2,51.8,0.3466066631,261,2881,11,0.8,12,0.2507097598,227,2876,11.2,0.9,12,0.2576709594,284,2888,11.8,0.8,10.8,0.2328670456
20020,Lincoln,ME,58,350,21.9,3.1,20.6,0.3076993067,132,341,38.2,3.2,28.5,0.3157733035,126,172,73,4.2,60.6,0.4760612294,52,172,29.4,4.3,26.5,0.447828905,13,342,3.7,1.1,7.1,0.1886627774,93,189,42.8,4.5,33,0.4277066342,97,167,51.3,4.9,40.5,0.4788523038,66,353,16.4,2.3,9.6,0.1805805997,20,352,5.8,1.5,2.8,0.101079311,32,349,7.4,1.5,5.4,0.1423418332,35,349,8.6,1.6,5.2,0.1323174942,42,351,10.7,1.9,7.7,0.1740288112,105,347,28.3,3,15.5,0.2489108411,13,93,13.2,4.3,21.1,0.683113719,122,353,26.5,2.7,21.8,0.2235318975,32,352,16.7,3.1,9.8,0.2718125138,63,317,17.3,2.8,11.9,0.2449268988,207,353,49.1,3.3,51.8,0.3466066631,52,350,17.4,2.6,12,0.2507097598,45,351,18.5,3,12,0.2576709594,35,353,10.2,2,10.8,0.2328670456
20021,Machias,ME,167,808,24.4,2.4,20.6,0.3076993067,228,777,29.3,2.3,28.5,0.3157733035,246,411,64.5,3.2,60.6,0.4760612294,126,401,32.2,3.4,26.5,0.447828905,55,785,7.2,1.4,7.1,0.1886627774,190,431,37.9,3.1,33,0.4277066342,187,377,44.8,3.4,40.5,0.4788523038,91,812,8.6,1.1,9.6,0.1805805997,24,812,2.5,0.6,2.8,0.101079311,57,809,6.3,1.1,5.4,0.1423418332,56,806,5,0.8,5.2,0.1323174942,95,807,8.3,1.1,7.7,0.1740288112,183,807,22.1,2.1,15.5,0.2489108411,29,190,13.2,2.9,21.1,0.683113719,300,810,25.7,1.8,21.8,0.2235318975,56,811,12,2,9.8,0.2718125138,128,723,16.3,2.1,11.9,0.2449268988,496,812,56.4,2.5,51.8,0.3466066631,98,810,16.4,2,12,0.2507097598,104,808,18.1,2.3,12,0.2576709594,74,810,12.2,1.7,10.8,0.2328670456
